!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March 20, 2026 10:11:15
!Source: Standard

!CW Freq: 27500000000 Hz
BEGIN CH7_DATA
Power(dBm),S21(DB),S21(DEG),"R1,1"(DB),"R1,1"(DEG),S21(DB),S21(DEG),"B,1"(DB),"B,1"(DEG)
-20,-1.6477472,113.36721,-19.909132,-99.99826,0.82720399,113.36721,-21.556879,13.368944
-19.906666666667,-1.77449,113.26929,-19.815828,-100.00307,0.81522131,113.26929,-21.590319,13.266219
-19.813333333333,-1.7473459,113.31851,-19.722914,-100.01072,0.81777292,113.31851,-21.470259,13.307793
-19.72,-1.7117206,113.61859,-19.626955,-100.00644,0.82113391,113.61859,-21.338676,13.612158
-19.626666666667,-1.7795826,113.04383,-19.534676,-99.993782,0.81474346,113.04383,-21.314259,13.050058
-19.533333333333,-1.6909517,113.33691,-19.439751,-99.997017,0.82309967,113.33691,-21.130701,13.339891
-19.44,-1.8562437,113.29401,-19.438435,-100.01352,0.80758423,113.29401,-21.294678,13.280486
-19.346666666667,-1.7125641,113.17832,-19.343775,-100.01975,0.8210541,113.17832,-21.056339,13.158563
-19.253333333333,-1.7145087,113.25829,-19.161522,-100.00996,0.82087034,113.25829,-20.876032,13.248325
-19.16,-1.7544996,112.16412,-19.066288,-100.01042,0.81709963,112.16412,-20.820787,12.153703
-19.066666666667,-1.7082632,113.18813,-18.973442,-99.998917,0.82146084,113.18813,-20.681705,13.189211
-18.973333333333,-1.7964368,113.42317,-18.878195,-100.01822,0.81316406,113.42317,-20.674631,13.404962
-18.88,-1.7621272,113.02842,-18.784492,-100.00424,0.81638247,113.02842,-20.546619,13.024172
-18.786666666667,-1.7096152,112.81771,-18.694588,-99.999908,0.82133293,112.81771,-20.404202,12.817806
-18.693333333333,-1.7044694,113.01415,-18.60409,-100.00977,0.82181966,113.01415,-20.308559,13.004395
-18.6,-1.722629,112.5276,-18.508448,-100.00624,0.82010329,112.5276,-20.231075,12.521359
-18.506666666667,-1.7441421,112.98136,-18.41404,-100.00755,0.81807458,112.98136,-20.158182,12.973818
-18.413333333333,-1.7524382,113.31586,-18.321369,-99.998238,0.81729358,113.31586,-20.073809,13.317624
-18.32,-1.7032075,113.25632,-18.225454,-100.01601,0.82193905,113.25632,-19.928661,13.240307
-18.226666666667,-1.7780173,112.68672,-18.131086,-100.01331,0.81489027,112.68672,-19.909103,12.673411
-18.133333333333,-1.7528881,112.64149,-18.040848,-100.0027,0.81725127,112.64149,-19.793736,12.638795
-18.04,-1.775566,112.46447,-17.944975,-100.01222,0.81512034,112.46447,-19.720539,12.452251
-17.946666666667,-1.7405715,112.71789,-17.851803,-100.0079,0.81841093,112.71789,-19.592375,12.709987
-17.853333333333,-1.7500539,113.02554,-17.761618,-100.01331,0.81751794,113.02554,-19.511671,13.012218
-17.76,-1.8221794,113.21107,-17.667463,-99.998734,0.81075764,113.21107,-19.489643,13.212344
-17.666666666667,-1.7289772,113.14857,-17.572241,-100.01089,0.81950414,113.14857,-19.301218,13.137676
-17.573333333333,-1.821836,113.00116,-17.480001,-100.01683,0.8107897,113.00116,-19.301838,12.98433
