!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March 20, 2026 10:20:32
!Source: Standard

BEGIN CH13_DATA
Freq(Hz),S21(DB),S21(DEG),S11(DB),S11(DEG),NF(DB),NF(DEG),S22(DB),S22(DEG)
27200000000,-8.3350592,69.159134,-16.197372,-100.36105,24.50736,0,-11.110912,-3.9764307
27210000000,-7.879993,59.997665,-16.25112,-100.78447,24.339373,0,-10.868222,-4.6972723
27220000000,-7.652102,50.447933,-16.353872,-100.95025,24.311209,0,-10.862619,-6.4379811
27230000000,-7.2400212,40.999043,-16.369946,-101.76301,24.196857,0,-10.864717,-9.4157791
27240000000,-6.9543285,31.324152,-16.489754,-101.94789,24.242582,0,-10.808776,-12.97056
27250000000,-6.6193933,21.387856,-16.562828,-102.43312,24.251251,0,-10.624856,-16.102131
27260000000,-6.3151221,11.501548,-16.718904,-103.0379,24.278076,0,-10.381552,-18.276724
27270000000,-5.98699,1.6153892,-16.850523,-103.76732,24.210848,0,-10.293837,-19.958778
27280000000,-5.6048741,-8.7595234,-16.981134,-104.47764,24.195175,0,-10.357748,-22.184753
27290000000,-5.2510495,-18.783499,-17.049297,-104.61517,24.068777,0,-10.429304,-25.214277
27300000000,-4.9305735,-28.938688,-17.17631,-104.23161,24.114521,0,-10.398661,-28.844139
27310000000,-4.5846429,-39.529655,-17.33824,-104.66924,23.976791,0,-10.312724,-31.982365
27320000000,-4.3008828,-50.229122,-17.495192,-104.38792,24.051241,0,-10.183151,-34.126205
27330000000,-4.0346808,-60.974686,-17.637985,-103.7383,24.059505,0,-10.314193,-36.045395
27340000000,-3.7042625,-71.731949,-17.768681,-102.96343,23.960552,0,-10.545033,-38.211636
27350000000,-3.4685366,-82.614899,-17.956213,-101.68722,23.943281,0,-10.77755,-41.446983
27360000000,-3.2385535,-93.670616,-18.073389,-101.33018,23.93066,0,-10.875161,-45.479233
27370000000,-3.0300155,-104.33295,-18.191999,-100.6505,24.034067,0,-10.883838,-48.064163
27380000000,-2.8343387,-115.72705,-18.359589,-99.793549,23.963562,0,-10.987818,-49.497314
27390000000,-2.6486161,-126.94486,-18.296589,-99.010155,23.969736,0,-11.278966,-50.611961
27400000000,-2.4874163,-137.93967,-18.353928,-98.329529,24.082918,0,-11.753954,-52.267467
27410000000,-2.3422871,-148.97878,-18.28904,-97.155457,23.919336,0,-12.263577,-55.189102
27420000000,-2.2551191,-160.09923,-18.171576,-96.001366,24.105804,0,-12.588966,-57.84581
27430000000,-2.1393197,-170.78104,-18.081318,-94.676918,24.029638,0,-12.818111,-59.785557
27440000000,-2.0675328,178.18541,-17.922974,-93.465332,23.89263,0,-12.975547,-60.110302
27450000000,-2.0180404,167.12329,-17.786854,-92.480713,24.027258,0,-13.316217,-59.317039
27460000000,-1.9364033,156.45517,-17.630447,-91.44091,23.957737,0,-13.918349,-59.274513
27470000000,-1.8864324,145.71111,-17.489834,-91.414238,23.946486,0,-14.532082,-60.202614
27480000000,-1.8707862,134.77834,-17.343626,-91.181938,24.033792,0,-14.965901,-62.146484
27490000000,-1.8185335,123.94496,-17.151976,-91.292084,24.066387,0,-15.081851,-62.777691
27500000000,-1.8073468,113.54715,-16.933037,-91.35817,24.046015,0,-15.18808,-61.932564
27510000000,-1.7909271,102.77107,-16.72788,-91.785294,24.052053,0,-15.453563,-59.405331
27520000000,-1.7809224,92.177963,-16.478601,-92.557938,24.076405,0,-15.983719,-57.220108
27530000000,-1.796095,81.639786,-16.25123,-92.793198,24.117765,0,-16.528492,-56.826717
27540000000,-1.758387,71.255737,-16.039925,-93.311836,24.119783,0,-16.856287,-57.756943
27550000000,-1.8015724,60.887737,-15.768429,-93.779694,24.04841,0,-17.00425,-58.773956
27560000000,-1.8228537,50.682713,-15.62903,-93.876419,23.999977,0,-16.917501,-58.008995
27570000000,-1.8431909,40.498211,-15.427828,-94.318695,23.91251,0,-16.985338,-55.568489
27580000000,-1.8784662,30.055927,-15.359613,-95.035599,23.991739,0,-17.316538,-52.519188
27590000000,-1.8757945,20.184116,-15.280753,-95.623482,24.048031,0,-18.033604,-50.948376
27600000000,-1.9321481,9.9218054,-15.296482,-96.603012,24.129864,0,-18.528856,-51.665203
27610000000,-1.9300648,0.1448523,-15.208419,-97.707993,24.082605,0,-18.705997,-53.478386
27620000000,-1.964403,-9.909358,-15.175016,-98.981606,23.957933,0,-18.520653,-51.819027
27630000000,-2.0030746,-19.905268,-15.042886,-100.34083,24.025513,0,-18.419479,-48.593685
27640000000,-1.9850583,-29.537205,-14.994697,-101.31306,24.025879,0,-18.650984,-44.169933
27650000000,-1.9674209,-39.547367,-14.914762,-102.63089,24.085405,0,-19.011671,-39.641586
27660000000,-2.0200737,-49.1059,-14.841461,-103.25783,24.04434,0,-19.613878,-39.132236
27670000000,-1.9901397,-58.836143,-14.812663,-104.50941,24.105799,0,-19.921373,-39.883724
27680000000,-2.0344992,-68.71331,-14.811337,-105.14197,24.142342,0,-19.573286,-38.607761
27690000000,-2.0486219,-78.577629,-14.865005,-106.42853,24.165987,0,-19.249258,-34.907398
27700000000,-2.0359728,-88.408394,-14.869458,-107.38184,23.939005,0,-19.050253,-29.423458
27710000000,-2.0445211,-98.13044,-14.893023,-108.10264,23.89185,0,-19.20195,-23.936937
27720000000,-2.0609508,-107.5897,-14.929292,-109.72989,23.944292,0,-19.806519,-20.567415
27730000000,-2.081712,-117.19209,-14.937759,-111.11172,24.040287,0,-20.023319,-21.885212
27740000000,-2.0905235,-126.72953,-15.019893,-111.97322,24.053617,0,-19.83836,-21.671366
27750000000,-2.1336753,-136.48657,-14.987655,-113.20937,24.183138,0,-19.055471,-19.940613
27760000000,-2.0954635,-146.06232,-14.96909,-114.0006,24.148926,0,-18.373592,-15.102254
27770000000,-2.1185589,-155.52837,-15.01568,-114.70165,24.138865,0,-17.98531,-9.6218395
27780000000,-2.0756254,-165.08557,-15.038543,-115.03537,24.039944,0,-17.985764,-6.2344465
27790000000,-2.0593147,-174.539,-15.055867,-114.87175,23.926298,0,-18.168051,-5.768311
27800000000,-2.0124569,176.17682,-15.152406,-115.06464,23.920542,0,-17.904909,-7.2774062
27810000000,-1.9781362,166.6078,-15.241104,-114.83662,23.900286,0,-17.144384,-8.7043486
27820000000,-1.9838458,156.98961,-15.381447,-115.00846,23.964586,0,-16.285362,-6.9287281
27830000000,-1.9586076,147.20592,-15.469835,-115.09145,23.957083,0,-15.795979,-3.7232265
27840000000,-1.9156307,137.82814,-15.690944,-115.00311,24.011349,0,-15.575159,-1.5817314
27850000000,-1.905887,127.969,-15.741767,-115.45564,24.027679,0,-15.642743,-1.6718308
27860000000,-1.855602,118.17715,-15.785597,-115.98555,23.975668,0,-15.543948,-4.7589793
