!CSV A.01.01
!Keysight Technologies,N5245B,MY63058204,A.19.30.04
!Date: Friday, March, 20, 2026 10:22:06
!Source: IMD Sweep Data

"Calibration State:","ON",,,,,,,,
"Sweep Type","Sweep fc",,,,,,,,
"Start fc",27200000000.000000,,,,,,,,
"Stop fc",31300000000.000000,,,,,,,,
"DeltaF",1000000.000000,,,,,,,,
"Number Of Points",411,,,,,,,,
"Main Tone IFBW",300.000000,,,,,,,,
"IM Tone IFBW",1000.000000,,,,,,,,
"f1 Power",-10.000000,,,,,,,,
"f2 Power",-10.000000,,,,,,,,
"Number Of Tones Measured",12,,,,,,,,

FrequencyFC,FrequencyF1,FrequencyF2,PwrMain,PwrMainLo,PwrMainHi,PwrMainIn,PwrMainLoIn,PwrMainHiIn,Pwr3,Pwr3Lo,Pwr3Hi,Pwr3In,Pwr3LoIn,Pwr3HiIn,
<Hz>,<Hz>,<Hz>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,<LogMag(dBm)>,
2.72e+10,2.71995e+10,2.72005e+10,-19.043,-19.057,-19.0289,-10.1799,-10.1818,-10.1781,-53.6656,-53.7074,-53.6239,-85.6541,-83.9101,-87.3981,
2.721e+10,2.72095e+10,2.72105e+10,-18.6885,-18.7239,-18.653,-10.2088,-10.2082,-10.2094,-53.7591,-54.6269,-52.8913,-81.845,-82.279,-81.4111,
2.722e+10,2.72195e+10,2.72205e+10,-18.1797,-18.1977,-18.1617,-10.2214,-10.2177,-10.2252,-53.0578,-53.2173,-52.8983,-92.3063,-93.7455,-90.8671,
2.723e+10,2.72295e+10,2.72305e+10,-17.8719,-17.8846,-17.8591,-10.2111,-10.2082,-10.2139,-53.6962,-53.3162,-54.0762,-88.3083,-90.2721,-86.3446,
2.724e+10,2.72395e+10,2.72405e+10,-17.5289,-17.5367,-17.5212,-10.1921,-10.1918,-10.1924,-53.493,-53.7564,-53.2296,-90.2698,-94.4883,-86.0512,
2.725e+10,2.72495e+10,2.72505e+10,-17.2058,-17.2265,-17.1852,-10.1824,-10.1866,-10.1781,-52.8985,-53.4659,-52.3311,-80.2943,-83.1039,-77.4847,
2.726e+10,2.72595e+10,2.72605e+10,-16.968,-16.9799,-16.9561,-10.1872,-10.1971,-10.1774,-52.7259,-53.33,-52.1219,-78.9361,-81.8792,-75.993,
2.727e+10,2.72695e+10,2.72705e+10,-16.5707,-16.6314,-16.51,-10.2004,-10.214,-10.1869,-52.3907,-53.0336,-51.7477,-81.5328,-81.9221,-81.1434,
2.728e+10,2.72795e+10,2.72805e+10,-16.1743,-16.2001,-16.1486,-10.2121,-10.2222,-10.202,-52.0909,-52.3208,-51.861,-81.9705,-82.6292,-81.3119,
2.729e+10,2.72895e+10,2.72905e+10,-15.9468,-15.9719,-15.9217,-10.2242,-10.23,-10.2183,-52.5253,-53.137,-51.9136,-86.2736,-87.9884,-84.5588,
2.73e+10,2.72995e+10,2.73005e+10,-15.5941,-15.6191,-15.5691,-10.2439,-10.2428,-10.2449,-52.5863,-52.9117,-52.2609,-92.8506,-93.0795,-92.6218,
2.731e+10,2.73095e+10,2.73105e+10,-15.077,-15.1004,-15.0537,-10.251,-10.2449,-10.2572,-52.1177,-51.8032,-52.4322,-94.9898,-93.6424,-96.3372,
2.732e+10,2.73195e+10,2.73205e+10,-14.7178,-14.7112,-14.7245,-10.2359,-10.2266,-10.2451,-51.7075,-52.1213,-51.2937,-94.3395,-86.5868,-102.092,
2.733e+10,2.73295e+10,2.73305e+10,-14.4789,-14.485,-14.4727,-10.2044,-10.1962,-10.2126,-51.113,-50.9138,-51.3123,-85.9512,-87.588,-84.3144,
2.734e+10,2.73395e+10,2.73405e+10,-14.2535,-14.2608,-14.2463,-10.179,-10.1729,-10.1851,-50.606,-50.4551,-50.7569,-82.0809,-82.5971,-81.5648,
2.735e+10,2.73495e+10,2.73505e+10,-14.0075,-14.0318,-13.9833,-10.1695,-10.1682,-10.1707,-50.167,-49.9814,-50.3525,-82.7527,-85.184,-80.3215,
